RoiIndex,PointIndex,X,Y
0,0,75,22
0,1,103,22
0,2,103,90
0,3,75,90
1,0,63,105
1,1,82,105
1,2,82,135
1,3,63,135
2,0,116,129
2,1,142,129
2,2,142,160
2,3,116,160
3,0,141,76
3,1,166,76
3,2,166,105
3,3,141,105
4,0,171,138
4,1,194,138
4,2,194,166
4,3,171,166
